,Image,Accuracy,Dice Coefficient,IoU,Recall,Precision
0,img\0.jpg,0.994384765625,0.8185404339250493,0.6928213689482471,0.7470747074707471,0.9051254089422028
1,img\1.jpg,0.9821929931640625,0.6492335437330928,0.48064085447263016,0.48758465011286684,0.9712230215827338
2,img\2.jpg,0.997467041015625,0.8916449086161881,0.8044758539458187,0.8558897243107769,0.9305177111716622
3,img\3.jpg,0.985107421875,0.7297895902547065,0.5745422842197035,0.6090573012939002,0.9102209944751382
4,img\4.jpg,0.9919281005859375,0.8191452991452991,0.6936884771279676,0.7047058823529412,0.9779591836734693
5,img\5.jpg,0.8923797607421875,0.2573444245551227,0.1476737160120846,0.14799564006297686,0.9854838709677419
6,img\6.jpg,0.9713287353515625,0.5345553628932376,0.3647734956051386,0.366508152173913,0.9871912168344007
7,img\7.jpg,0.9924163818359375,0.8537805236834364,0.7448665297741273,0.7529839128178516,0.985733695652174
8,img\8.jpg,0.963775634765625,0.5913941480206542,0.4198435972629521,0.42273622047244097,0.983963344788087
9,img\9.jpg,0.96697998046875,0.45076142131979696,0.290956749672346,0.29277942631058357,0.9790518191841234
10,img\10.jpg,0.9857025146484375,0.7613954672778204,0.6147203947368421,0.6195607128056362,0.987450462351387
11,img\11.jpg,0.971710205078125,0.5883658969804618,0.4167977351368355,0.4190385831752056,0.9873323397913562
12,img\12.jpg,0.9921875,0.8089552238805969,0.6791979949874687,0.6860759493670886,0.9854545454545455
13,img\13.jpg,0.969635009765625,0.5471096950386891,0.37656641604010027,0.38050015827793604,0.9732793522267207
14,img\14.jpg,0.992218017578125,0.8084147257700977,0.6784363177805801,0.6831746031746032,0.9898804047838087
15,img\15.jpg,0.9933624267578125,0.8362815205118556,0.7186287192755498,0.7218973359324237,0.9937388193202147
16,img\16.jpg,0.9909820556640625,0.7688697692608526,0.6245235069885642,0.6277139208173691,0.9919273461150353
17,img\17.jpg,0.93096923828125,0.3775454045129334,0.2327001356852103,0.23325399523971438,0.98989898989899
18,img\18.jpg,0.987823486328125,0.7474683544303796,0.596766043456291,0.6075102880658436,0.9712171052631579
19,img\19.jpg,0.9733123779296875,0.5842643213691466,0.4126930826057757,0.4160460392687881,0.9808459696727854
20,img\20.jpg,0.976287841796875,0.28780934922089824,0.16809421841541755,0.16836461126005361,0.9905362776025236
21,img\21.jpg,0.9811248779296875,0.5535907614579574,0.38273453093812376,0.3838838838838839,0.9922380336351876
22,img\22.jpg,0.97869873046875,0.5974625144175317,0.42598684210526316,0.4298755186721992,0.9792060491493384
23,img\23.jpg,0.9933013916015625,0.7790639154504277,0.6380873866446826,0.6526138279932546,0.9662921348314607
24,img\24.jpg,0.9938507080078125,0.795535261288686,0.6604886267902275,0.6871165644171779,0.944578313253012
25,img\25.jpg,0.9946136474609375,0.8318246784182944,0.7120717781402937,0.7429787234042553,0.9448051948051948
26,img\26.jpg,0.9940032958984375,0.7932667017359284,0.6573670444638187,0.6867030965391621,0.9389788293897883
27,img\27.jpg,0.9967041015625,0.8620689655172413,0.7575757575757576,0.8112980769230769,0.9196185286103542
28,img\28.jpg,0.995819091796875,0.8209150326797386,0.6962305986696231,0.7353629976580797,0.9289940828402367
29,img\29.jpg,0.9973602294921875,0.8770433546552949,0.7810126582278482,0.8248663101604278,0.936267071320182
30,img\30.jpg,0.9952545166015625,0.7721611721611722,0.6288782816229117,0.6645649432534678,0.9213286713286714
31,img\31.jpg,0.9933013916015625,0.7481353987378084,0.5976168652612283,0.6429980276134122,0.8943758573388203
32,img\32.jpg,0.9862518310546875,0.6320947325438955,0.462089552238806,0.47807288449660285,0.9325301204819277
33,img\33.jpg,0.99468994140625,0.814498933901919,0.6870503597122302,0.7248576850094877,0.9294403892944039
34,img\34.jpg,0.9836578369140625,0.5284015852047557,0.3590664272890485,0.379746835443038,0.8683068017366136
35,img\35.jpg,0.996185302734375,0.868421052631579,0.7674418604651163,0.8241758241758241,0.917686318131257
36,img\36.jpg,0.9946746826171875,0.8369920597851471,0.7196787148594378,0.7392739273927392,0.9644779332615716
37,img\37.jpg,0.991363525390625,0.7766377269139702,0.6348387096774194,0.6520874751491054,0.96
38,img\38.jpg,0.9943695068359375,0.826189354686764,0.7038523274478331,0.7130081300813008,0.9820828667413214
39,img\39.jpg,0.9866180419921875,0.6564825695260478,0.48862973760932943,0.5002985074626866,0.9544419134396356
40,img\40.jpg,0.9885711669921875,0.7609320140440473,0.6141164348274085,0.626379400945875,0.9691056910569106
41,img\41.jpg,0.986358642578125,0.68454481298518,0.5203862660944206,0.5286103542234333,0.970970970970971
42,img\42.jpg,0.99072265625,0.770392749244713,0.6265356265356266,0.6343283582089553,0.9807692307692307
43,img\43.jpg,0.989288330078125,0.680909090909091,0.5161957270847691,0.5312056737588653,0.9481012658227848
44,img\44.jpg,0.988250732421875,0.7146034099332839,0.5559400230680508,0.5878048780487805,0.9111531190926276
45,img\45.jpg,0.9941253662109375,0.8115516397454723,0.6828665568369028,0.7140396210163652,0.9399092970521542
46,img\46.jpg,0.9968719482421875,0.861952861952862,0.757396449704142,0.845442536327609,0.8791208791208791
47,img\47.jpg,0.99664306640625,0.8684210526315789,0.7674418604651163,0.7960526315789473,0.9552631578947368
48,img\48.jpg,0.9941864013671875,0.8227082363890181,0.6988142292490118,0.7928251121076233,0.8549323017408124
49,img\49.jpg,0.992218017578125,0.7517039922103214,0.6021840873634945,0.636963696369637,0.9168646080760094
