,Image,Accuracy,Dice Coefficient,IoU,Recall,Precision
0,img\0.jpg,0.993896484375,0.7929606625258799,0.6569468267581475,0.6894689468946895,0.9330085261875761
1,img\1.jpg,0.9781494140625,0.5258278145695364,0.35669362084456424,0.35846501128668173,0.986335403726708
2,img\2.jpg,0.9971466064453125,0.8735632183908046,0.7755102040816326,0.8095238095238095,0.9486049926578561
3,img\3.jpg,0.9832305908203125,0.6749482401656315,0.509375,0.527264325323475,0.9375513557929335
4,img\4.jpg,0.9902801513671875,0.7725812209925027,0.629435718440954,0.6364705882352941,0.9827429609445958
5,img\5.jpg,0.8924560546875,0.25763640193806614,0.1478660379639705,0.14811674942473052,0.9886822958771221
6,img\6.jpg,0.972625732421875,0.5628654970760234,0.3916581892166836,0.3923233695652174,0.9956896551724138
7,img\7.jpg,0.9904022216796875,0.8058042605742514,0.6747673216132368,0.6772184743124027,0.9946646341463414
8,img\8.jpg,0.959808349609375,0.5235166425470332,0.35456995834354327,0.3560531496062992,0.9883879781420765
9,img\9.jpg,0.9639434814453125,0.3635873956369512,0.22218564845292957,0.22255192878338279,0.9926470588235294
10,img\10.jpg,0.9827880859375,0.6966110812264659,0.5344614114733801,0.5366763365105678,0.9923371647509579
11,img\11.jpg,0.970245361328125,0.5547945205479452,0.38388625592417064,0.38425047438330173,0.9975369458128078
12,img\12.jpg,0.990875244140625,0.7669524551831645,0.6219974715549936,0.6227848101265823,0.9979716024340771
13,img\13.jpg,0.9704132080078125,0.5600181529385069,0.38890639773085406,0.39062994618550173,0.9887820512820513
14,img\14.jpg,0.9905548095703125,0.755818540433925,0.6074825618262524,0.6082539682539683,0.9979166666666667
15,img\15.jpg,0.991668701171875,0.7847003154574133,0.645684620376379,0.6465237166991553,0.9979939819458375
16,img\16.jpg,0.9895477294921875,0.7209775967413442,0.5636942675159236,0.5651340996168582,0.9955005624296963
17,img\17.jpg,0.9301300048828125,0.3635858234885337,0.2221844742653304,0.22237334240054404,0.9961919268849961
18,img\18.jpg,0.9853515625,0.6756756756756758,0.5102040816326531,0.51440329218107,0.984251968503937
19,img\19.jpg,0.9719085693359375,0.5506468147424946,0.3799259009767599,0.3818551117129316,0.9868766404199475
20,img\20.jpg,0.98431396484375,0.621223286661754,0.45056119722073756,0.4520107238605898,0.9929328621908127
21,img\21.jpg,0.9816436767578125,0.5744605588963565,0.40297766749379654,0.4064064064064064,0.9794933655006032
22,img\22.jpg,0.97869873046875,0.5962984384037016,0.42480428512566953,0.42780082987551865,0.9837786259541985
23,img\23.jpg,0.993011474609375,0.7658486707566463,0.6205468102734052,0.6315345699831366,0.9727272727272728
24,img\24.jpg,0.99285888671875,0.7475728155339807,0.5968992248062015,0.6073619631901841,0.9719495091164095
25,img\25.jpg,0.9940185546875,0.8045862412761714,0.6730608840700584,0.6868085106382978,0.9711191335740073
26,img\26.jpg,0.9938201904296875,0.7804878048780488,0.64,0.6557377049180327,0.963855421686747
27,img\27.jpg,0.996307373046875,0.8446726572528883,0.7311111111111112,0.7908653846153846,0.90633608815427
28,img\28.jpg,0.9957427978515625,0.8172888015717091,0.6910299003322259,0.7306791569086651,0.9271916790490342
29,img\29.jpg,0.9971923828125,0.870967741935484,0.7714285714285715,0.8302139037433155,0.915929203539823
30,img\30.jpg,0.9939727783203125,0.6930846930846931,0.5303210463733651,0.562421185372005,0.902834008097166
31,img\31.jpg,0.99346923828125,0.7528868360277137,0.6037037037037037,0.6429980276134122,0.9080779944289693
32,img\32.jpg,0.983123779296875,0.498640072529465,0.3321256038647343,0.339715873996294,0.9369676320272572
33,img\33.jpg,0.9942626953125,0.7920353982300885,0.6556776556776557,0.6793168880455408,0.9496021220159151
34,img\34.jpg,0.9851226806640625,0.5925616381111576,0.42102137767220904,0.4487341772151899,0.8720787207872078
35,img\35.jpg,0.9957122802734375,0.8451790633608816,0.7318702290076335,0.7662337662337663,0.9422604422604423
36,img\36.jpg,0.99371337890625,0.7962413452027695,0.6614626129827444,0.6641914191419142,0.9938271604938271
37,img\37.jpg,0.99072265625,0.7508196721311475,0.6010498687664042,0.6070245195493704,0.9838882921589689
38,img\38.jpg,0.9929656982421875,0.7714427367377292,0.6279257465698144,0.6325203252032521,0.98856416772554
39,img\39.jpg,0.988616943359375,0.720808383233533,0.5634874195435927,0.5749253731343283,0.9658976930792377
40,img\40.jpg,0.9872589111328125,0.7248764415156508,0.5684754521963824,0.5780346820809249,0.9717314487632509
41,img\41.jpg,0.9859771728515625,0.6671495834842449,0.5005434782608695,0.5019073569482289,0.9946004319654428
42,img\42.jpg,0.9898529052734375,0.7443291041906959,0.5927740355174526,0.6019900497512438,0.9748237663645518
43,img\43.jpg,0.9887847900390625,0.655091506335054,0.4870900209351012,0.4950354609929078,0.9680998613037448
44,img\44.jpg,0.9873199462890625,0.67141162514828,0.5053571428571428,0.5176829268292683,0.9550056242969629
45,img\45.jpg,0.993194580078125,0.768191268191268,0.6236286919831223,0.6365202411714039,0.9685452162516383
46,img\46.jpg,0.9970245361328125,0.865979381443299,0.7636363636363637,0.8322324966974901,0.9025787965616046
47,img\47.jpg,0.9965667724609375,0.8630553864881315,0.7591006423982869,0.7774122807017544,0.9699042407660738
48,img\48.jpg,0.9945220947265625,0.8296155671570954,0.7088402270884022,0.7838565022421524,0.8810483870967742
49,img\49.jpg,0.9918365478515625,0.7285641806189752,0.573024740622506,0.5924092409240924,0.9459815546772069
